id,symbol,side,bar_time,outcome,ema9,slope_pct,body_atr_ratio,detected_at
158,XRP,short,"2026-06-06 23:30:00+00:00",entry_unfilled,,,,2026-06-07T00:30:07.565503+00:00
176,XRP,short,"2026-06-07 01:00:00+00:00",detected,,-0.0048100442411676,,2026-06-07T01:16:36.869035+00:00
183,XRP,short,"2026-06-07 01:15:00+00:00",fired,,,,2026-06-07T01:31:26.041293+00:00
185,XRP,short,"2026-06-07 01:30:00+00:00",detected,,-0.00405100423243177,,2026-06-07T01:46:01.043123+00:00
187,XRP,short,"2026-06-07 01:45:00+00:00",fired,,,,2026-06-07T02:00:06.662913+00:00
191,XRP,short,"2026-06-07 02:45:00+00:00",detected,,-0.00262915293312993,,2026-06-07T03:00:53.071091+00:00
192,XRP,short,"2026-06-07 03:00:00+00:00",fired,,,,2026-06-07T03:15:12.367890+00:00
227,XRP,long,"2026-06-07 12:00:00+00:00",detected,,0.00500717800587314,,2026-06-07T12:15:34.673473+00:00
237,XRP,long,"2026-06-07 12:30:00+00:00",fired,,,,2026-06-07T12:46:05.363369+00:00
263,XRP,long,"2026-06-07 19:30:00+00:00",detected,,0.00342322192089028,,2026-06-07T19:45:47.769516+00:00
267,XRP,long,"2026-06-07 20:00:00+00:00",fired,,,,2026-06-07T20:15:07.767414+00:00
271,XRP,long,"2026-06-07 21:30:00+00:00",detected,,0.0027799904443957,,2026-06-07T21:46:02.698036+00:00
274,XRP,long,"2026-06-07 21:30:00+00:00",entry_unfilled,,,,2026-06-07T22:30:39.669029+00:00
286,XRP,long,"2026-06-08 01:15:00+00:00",detected,,0.00479953360540319,,2026-06-08T01:30:13.675570+00:00
290,XRP,long,"2026-06-08 01:15:00+00:00",entry_unfilled,,,,2026-06-08T02:16:31.576651+00:00
333,XRP,long,"2026-06-09 00:00:00+00:00",detected,,0.00610990432295089,,2026-06-09T00:15:55.861502+00:00
341,XRP,long,"2026-06-09 00:15:00+00:00",fired,,,,2026-06-09T00:31:20.579055+00:00
347,XRP,long,"2026-06-09 00:45:00+00:00",detected,,0.00521239283564623,,2026-06-09T01:01:24.374319+00:00
348,XRP,long,"2026-06-09 00:45:00+00:00",entry_unfilled,,,,2026-06-09T01:45:21.771843+00:00
349,XRP,long,"2026-06-09 01:45:00+00:00",detected,,0.004160156532242,,2026-06-09T02:01:09.870451+00:00
350,XRP,long,"2026-06-09 02:15:00+00:00",fired,,,,2026-06-09T02:31:11.166477+00:00
375,XRP,long,"2026-06-09 10:00:00+00:00",detected,,0.003331539007847,,2026-06-09T10:15:20.271586+00:00
380,XRP,long,"2026-06-09 10:15:00+00:00",fired,,,,2026-06-09T10:31:30.869933+00:00
396,XRP,long,"2026-06-09 14:00:00+00:00",detected,,0.000987146654419124,,2026-06-09T14:15:39.276435+00:00
402,XRP,long,"2026-06-09 14:15:00+00:00",fired,,,,2026-06-09T14:30:32.780032+00:00
407,XRP,long,"2026-06-09 14:30:00+00:00",detected,,0.000446839896578233,,2026-06-09T14:45:38.175317+00:00
408,XRP,long,"2026-06-09 14:45:00+00:00",fired,,,,2026-06-09T15:00:53.071951+00:00
435,XRP,short,"2026-06-10 00:00:00+00:00",detected,,-0.00213857506332804,,2026-06-10T00:15:10.974960+00:00
445,XRP,short,"2026-06-10 00:00:00+00:00",entry_unfilled,,,,2026-06-10T01:00:37.269807+00:00
452,XRP,short,"2026-06-10 01:00:00+00:00",detected,,-0.00233625149992678,,2026-06-10T01:15:34.157099+00:00
461,XRP,short,"2026-06-10 07:15:00+00:00",detected,,-0.00561160914104541,,2026-06-10T07:30:00.972630+00:00
466,XRP,short,"2026-06-10 07:30:00+00:00",fired,,,,2026-06-10T07:46:23.480199+00:00
483,XRP,short,"2026-06-10 12:30:00+00:00",detected,,-0.00589278498673051,,2026-06-10T12:45:44.869067+00:00
487,XRP,short,"2026-06-10 12:45:00+00:00",fired,,,,2026-06-10T13:00:01.554019+00:00
