family,coin,oos_pass,oos_n,oos_pf,oos_wr,oos_payoff,oos_net,oos_calmar,oos_sharpe,oos_dd,oos_liq,bf_pf,bf_net,bf_dd,is_pf,is_net,params,reasons
reclaim_pullback,SOL,False,394,0.6650258950050544,33.756345177664976,1.3050508165136783,-83.2677909193973,-5.955396320629522,-5.470067128095507,85.38766906571436,1,0.48182382914986743,-157.784210665415,157.78421066541526,0.8720300448848768,-63.65447591791432,"{'atr_p': 14, 'entry': 'market', 'fast': 20, 'slow': 50, 'sl_atr': 2.98869653551168, 'tp_atr': 4.76593318878439, 'slope_lb': 10, 'max_bars': 48, 'trail': False}",DD 85.4%>25.0%; PF 0.67<1.3; 1 liquidation breach(es); Sharpe -5.47<1.0
reclaim_pullback,ETH,False,399,0.626483733231725,23.308270676691727,2.0613335738592244,-123.22258885151778,-6.128374045356493,-1.3831988698029796,123.22258885151787,0,0.3982638296833414,-269.23746072511085,269.2374607251108,0.7710584345366098,-152.8306211178275,"{'atr_p': 14, 'entry': 'market', 'fast': 20, 'slow': 100, 'sl_atr': 2.2994392973964417, 'tp_atr': 5.512347022898979, 'slope_lb': 5, 'max_bars': 48, 'trail': True}",DD 123.2%>25.0%; PF 0.63<1.3; Sharpe -1.38<1.0
reclaim_pullback,BTC,False,286,0.6323224641487332,37.41258741258741,1.0578104774076935,-67.80513302418582,-6.04307465335721,-7.555226178374588,69.21414982898493,0,0.37653692361129015,-153.59943612686092,154.79311006665708,0.7132168132560504,-125.0732460368817,"{'atr_p': 14, 'entry': 'market', 'fast': 30, 'slow': 200, 'sl_atr': 2.998420728526434, 'tp_atr': 4.00516752635217, 'slope_lb': 10, 'max_bars': 48, 'trail': False}",DD 69.2%>25.0%; PF 0.63<1.3; Sharpe -7.56<1.0
reclaim_pullback,HYPE,False,399,0.8997651178822317,50.125313283208015,0.8952662922928205,-17.612602787211394,-4.31546941241638,-2.0136646832384386,25.17742203119842,0,0.6869952993665355,-63.81786911619921,64.31861956275615,0.8315483960104333,-68.68729355220434,"{'atr_p': 14, 'entry': 'market', 'fast': 30, 'slow': 200, 'sl_atr': 2.7554299499993147, 'tp_atr': 2.4652558116317103, 'slope_lb': 20, 'max_bars': 24, 'trail': False}",DD 25.2%>25.0%; PF 0.90<1.3; Sharpe -2.01<1.0
reclaim_pullback,ZEC,False,496,0.9344669853153624,23.18548387096774,3.0959297513491575,-25.346916581666832,-3.463635722286223,-0.19977339263066196,44.701556255191754,1,0.7608959552918868,-107.76952880890317,108.44149300149948,0.9423189258092757,-49.666058370767466,"{'atr_p': 14, 'entry': 'market', 'fast': 20, 'slow': 50, 'sl_atr': 1.5101141384277925, 'tp_atr': 4.221617143858316, 'slope_lb': 10, 'max_bars': 48, 'trail': True}",DD 44.7%>25.0%; PF 0.93<1.3; 1 liquidation breach(es); Sharpe -0.20<1.0
failed_breakout,SOL,False,564,0.6424181116317137,21.631205673758867,2.3274492241083395,-185.1895051704718,-6.116250654564492,-7.307545013319726,185.18950517047188,0,0.41455944653119425,-418.086556347452,418.08655634745185,0.737429095544385,-306.3191660395625,"{'atr_p': 14, 'lookback': 43, 'sl_atr': 1.3431880986001346, 'tp_atr': 4.599061238008216, 'max_bars': 48}",DD 185.2%>25.0%; PF 0.64<1.3; Sharpe -7.31<1.0
failed_breakout,ETH,False,478,0.5888269898862672,38.28451882845189,0.9492019782319608,-139.9540791792261,-6.058977048128539,-3.6651057617266085,141.21950459316426,1,0.35971525550923716,-286.69144242693386,287.1259883256531,0.7888228875390724,-141.49151350610674,"{'atr_p': 14, 'lookback': 50, 'sl_atr': 1.9448249019397954, 'tp_atr': 2.135823631333297, 'max_bars': 96}",DD 141.2%>25.0%; PF 0.59<1.3; 1 liquidation breach(es); Sharpe -3.67<1.0
failed_breakout,BTC,False,430,0.6294022876774412,28.13953488372093,1.6073165858870193,-136.4950651556565,-6.173285208478819,-2.675109440220125,135.34424396073558,0,0.38063038888955425,-320.0886729146493,311.13168243901447,0.6729882546339362,-261.7306184373276,"{'atr_p': 14, 'lookback': 50, 'sl_atr': 1.9904790841993196, 'tp_atr': 4.344890560540684, 'max_bars': 96}",DD 135.3%>25.0%; PF 0.63<1.3; Sharpe -2.68<1.0
failed_breakout,HYPE,False,448,0.9038073618778227,27.67857142857143,2.361561171358182,-33.56370073069967,-3.0897667511701625,-1.0595858472683402,66.3820337087919,0,0.7351587113731709,-108.33083661547604,113.95722449196836,0.9220178033062629,-60.67988864132256,"{'atr_p': 14, 'lookback': 45, 'sl_atr': 1.870101236282258, 'tp_atr': 4.98780714711871, 'max_bars': 96}",DD 66.4%>25.0%; PF 0.90<1.3; Sharpe -1.06<1.0
failed_breakout,ZEC,False,626,0.9278541672554764,40.09584664536741,1.3862363056605724,-26.546655582234624,-3.3243448444708,-1.1471684495164178,48.70265239308827,1,0.7641837784415357,-97.95217789570768,110.35043728809268,0.8657602149584583,-118.55423096867594,"{'atr_p': 14, 'lookback': 25, 'sl_atr': 1.9408571676918993, 'tp_atr': 4.061978796339918, 'max_bars': 24}",DD 48.7%>25.0%; PF 0.93<1.3; 1 liquidation breach(es); Sharpe -1.15<1.0
sweep_reversal,SOL,False,599,0.7408299642922666,41.40233722871452,1.0485133768813935,-82.01929575917552,-5.974318719466047,-6.128188970508107,83.73397582921321,0,0.48503530272709156,-205.67485625471892,206.97215506925804,0.7565939514432327,-165.8162218330103,"{'atr_p': 14, 'lookback': 25, 'sl_atr': 1.9408571676918993, 'tp_atr': 4.061978796339918, 'max_bars': 24}",DD 83.7%>25.0%; PF 0.74<1.3; Sharpe -6.13<1.0
sweep_reversal,ETH,False,432,0.6942812841011003,57.870370370370374,0.505436774825601,-61.28268292685689,-5.948937142747727,-7.383854719582485,62.98060379836079,1,0.4133944095074678,-144.8147446498817,145.30552635704544,0.7580571859355079,-103.90217143489822,"{'atr_p': 14, 'lookback': 49, 'sl_atr': 1.9503947744994516, 'tp_atr': 1.64548285412341, 'max_bars': 96}",DD 63.0%>25.0%; PF 0.69<1.3; 1 liquidation breach(es); Sharpe -7.38<1.0
sweep_reversal,BTC,False,453,0.6254326114417096,51.21412803532009,0.595778479002663,-94.10284623159662,-5.8192204045624845,-1.4897195895644075,98.73379393797585,0,0.32674178964386436,-222.93116362081128,222.3515187112725,0.689276379467774,-168.29759889024655,"{'atr_p': 14, 'lookback': 48, 'sl_atr': 1.9238654403381394, 'tp_atr': 1.9478548331032686, 'max_bars': 96}",DD 98.7%>25.0%; PF 0.63<1.3; Sharpe -1.49<1.0
sweep_reversal,HYPE,False,500,0.8050242113705846,49.4,0.8245794553714894,-52.12857442821191,-5.290603356353585,-4.2827523841323405,60.21116830649047,0,0.6423905864100049,-107.89260430240297,111.98794689844132,0.9447768887488743,-33.72894676460931,"{'atr_p': 14, 'lookback': 43, 'sl_atr': 1.8087307195122595, 'tp_atr': 2.250806600550231, 'max_bars': 96}",DD 60.2%>25.0%; PF 0.81<1.3; Sharpe -4.28<1.0
sweep_reversal,ZEC,False,556,1.0203822519742065,46.76258992805755,1.1616659484014042,4.9741621976003385,1.471191856146977,0.7831974374758807,20.62051450749104,1,0.8493729523241447,-40.821318150336445,54.695458635319696,0.9035386605672875,-58.85883876239162,"{'atr_p': 14, 'lookback': 25, 'sl_atr': 1.9408571676918993, 'tp_atr': 4.061978796339918, 'max_bars': 24}",PF 1.02<1.3; 1 liquidation breach(es); Sharpe 0.78<1.0
regime_mr,SOL,True,1128,1.3123488843002873,88.74113475177306,0.16650180649963686,37.93125680514755,33.25362064225201,6.8890274757076355,7.035542695670154,0,0.44164361172661304,-100.09315374639168,100.63855052622446,1.4621023721398356,122.4003838564701,"{'trend_len': 200, 'slope_lb': 20, 'limit_atr': 0.25, 'z_period': 55, 'z_entry': 1.1907459087590995, 'sl_atr': 1.9394431500237501, 'tp_frac': 0.25498829574677273, 'max_bars': 7}",
regime_mr,ETH,False,1128,1.2523283881332872,92.73049645390071,0.09817488319974144,21.136837187195752,14.860587704713808,4.950959985043275,8.770844431748012,0,0.32925056250753854,-86.67573787933821,87.12106712346004,1.4981454016355662,81.75324637486659,"{'trend_len': 200, 'slope_lb': 20, 'limit_atr': 0.25, 'z_period': 39, 'z_entry': 1.245883733865229, 'sl_atr': 2.9158690025904175, 'tp_frac': 0.2206379359697586, 'max_bars': 17}",PF 1.25<1.3
regime_mr,BTC,False,1504,1.1906501393009947,91.02393617021278,0.1174125411290243,29.22371145306905,12.764269955095749,4.383737848478668,14.11811715859288,0,0.2038274227815896,-230.08696866526188,230.08696866526196,1.2731527603457882,91.56465712402962,"{'trend_len': 200, 'slope_lb': 20, 'limit_atr': 0.25, 'z_period': 24, 'z_entry': 1.038288341117024, 'sl_atr': 2.1782999104178775, 'tp_frac': 0.20282614405756996, 'max_bars': 20}",PF 1.19<1.3
regime_mr,HYPE,True,755,2.018021107823403,94.96688741721854,0.10695230418031981,38.42792368763185,68.46367491665568,12.85956696327067,3.4697279820429445,0,1.1138040322342218,5.253236770700423,10.974445993171951,1.9600020185980143,88.4513659996318,"{'trend_len': 200, 'slope_lb': 20, 'limit_atr': 0.25, 'z_period': 54, 'z_entry': 1.534032913949373, 'sl_atr': 2.8675338194825515, 'tp_frac': 0.22134752827508758, 'max_bars': 21}",
regime_mr,ZEC,True,919,1.779603089556134,92.05658324265505,0.15355913184113215,42.410636697024266,65.3458695844403,12.762398301814668,4.00944745302285,0,1.2416707935569762,14.737384348494272,5.526329621280153,1.5166143624394304,77.07680633504836,"{'trend_len': 200, 'slope_lb': 20, 'limit_atr': 0.25, 'z_period': 53, 'z_entry': 1.2841433217648879, 'sl_atr': 2.889259330391414, 'tp_frac': 0.2746293492658991, 'max_bars': 12}",
