sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,zec_score,zec_net_pnl,zec_pf,zec_n,zec_dd,zec_wr,sol_score,sol_net_pnl,sol_pf,sol_n,sol_dd,sol_wr,combined_score,combined_net,both_profitable,pnl_spread
95.0,0.12,"(0.2, 0.5)",True,96.73,21227.17,2.448,1087,-415.02,0.6734,96.01,6232.86,1.989,475,-416.09,0.6295,96.37,27460.03,True,14994.309999999998
80.0,0.15,"(0.3, 0.5)",True,96.26,21869.29,3.106,937,-283.09,0.6809,96.47,6039.39,2.65,335,-269.87,0.6418,96.36500000000001,27908.68,True,15829.900000000001
100.0,0.12,"(0.3, 0.6)",False,99.01,24402.08,2.468,1255,-489.5,0.6765,93.71,6697.32,1.832,557,-540.37,0.6194,96.36,31099.4,True,17704.760000000002
60.0,0.18,,False,96.92,23978.66,3.598,951,-276.0,0.6824,95.8,5400.7,3.03,276,-150.38,0.6449,96.36,29379.36,True,18577.96
100.0,0.15,"(0.3, 0.5)",True,97.42,20573.24,2.831,918,-399.73,0.6885,95.3,5879.02,2.499,329,-349.87,0.6474,96.36,26452.260000000002,True,14694.220000000001
65.0,0.15,"(0.3, 0.6)",False,96.84,22958.74,3.204,980,-245.0,0.6673,95.82,6753.34,2.887,362,-356.87,0.6381,96.33,29712.08,True,16205.400000000001
95.0,0.18,"(0.3, 0.6)",False,98.47,19757.22,3.721,709,-303.0,0.7193,94.18,4970.31,3.344,225,-170.5,0.6889,96.325,24727.530000000002,True,14786.91
100.0,0.15,"(0.2, 0.5)",True,97.73,19807.93,3.006,823,-395.23,0.6962,94.85,5506.87,2.555,295,-382.87,0.6678,96.28999999999999,25314.8,True,14301.060000000001
65.0,0.18,,False,96.7,23458.85,3.446,945,-296.0,0.6804,95.81,5383.2,2.985,276,-170.38,0.6486,96.255,28842.05,True,18075.649999999998
85.0,0.18,"(0.3, 0.6)",False,97.7,19907.85,3.791,714,-275.06,0.7115,94.75,5160.31,3.674,225,-150.5,0.6889,96.225,25068.16,True,14747.539999999997
85.0,0.18,,False,96.64,22803.29,3.232,933,-319.4,0.6924,95.8,4928.05,2.566,274,-250.38,0.6533,96.22,27731.34,True,17875.24
110.0,0.18,"(0.3, 0.6)",False,97.76,18976.98,3.4,701,-416.19,0.7247,94.67,5053.3,3.446,224,-200.5,0.6964,96.215,24030.28,True,13923.68
75.0,0.18,,True,96.49,20548.07,3.353,831,-336.0,0.6907,95.91,4759.6,2.928,243,-210.38,0.6626,96.19999999999999,25307.67,True,15788.47
90.0,0.15,"(0.2, 0.5)",True,97.79,20486.89,3.141,834,-332.49,0.693,94.58,5664.88,2.656,298,-342.87,0.6644,96.185,26151.77,True,14822.009999999998
60.0,0.15,"(0.3, 0.5)",False,96.0,25105.4,3.17,1091,-316.22,0.6563,96.35,6967.51,2.824,384,-321.87,0.6302,96.175,32072.910000000003,True,18137.89
70.0,0.18,,False,96.8,23139.7,3.345,941,-316.0,0.6823,95.54,5208.2,2.804,276,-190.38,0.6486,96.17,28347.9,True,17931.5
75.0,0.15,"(0.3, 0.5)",False,96.43,25009.02,3.084,1084,-285.0,0.6688,95.9,6727.68,2.623,382,-347.37,0.6387,96.165,31736.7,True,18281.34
90.0,0.18,,False,97.28,22812.98,3.223,928,-339.4,0.6972,95.03,4895.55,2.524,274,-270.38,0.6569,96.155,27708.53,True,17917.43
70.0,0.15,"(0.3, 0.5)",False,96.48,24766.98,3.049,1084,-265.0,0.6633,95.71,6780.68,2.67,383,-424.87,0.6345,96.095,31547.66,True,17986.3
60.0,0.09,"(0.3, 0.6)",True,97.56,23966.85,2.257,1464,-559.2,0.6216,94.61,7853.27,1.753,806,-353.1,0.5583,96.08500000000001,31820.12,True,16113.579999999998
75.0,0.12,,True,96.04,24586.97,2.261,1465,-537.32,0.641,96.05,7155.5,1.858,625,-315.0,0.6,96.045,31742.47,True,17431.47
75.0,0.18,,False,96.41,23207.85,3.332,941,-336.0,0.6865,95.64,5225.2,2.8,275,-210.38,0.6545,96.025,28433.05,True,17982.649999999998
85.0,0.12,"(0.3, 0.6)",False,98.04,25677.42,2.631,1275,-414.5,0.6706,94.0,6517.69,1.806,568,-614.37,0.6074,96.02000000000001,32195.109999999997,True,19159.73
70.0,0.12,,True,96.02,24608.44,2.275,1467,-544.82,0.6353,96.0,7447.5,1.921,629,-398.68,0.5978,96.00999999999999,32055.94,True,17160.94
75.0,0.09,"(0.3, 0.6)",True,98.48,23100.2,2.151,1432,-700.2,0.6376,93.52,7475.75,1.7,783,-357.75,0.5709,96.0,30575.95,True,15624.45
80.0,0.12,"(0.2, 0.5)",True,96.2,22832.69,2.668,1107,-365.5,0.6685,95.8,6475.61,2.086,478,-383.5,0.6172,96.0,29308.3,True,16357.079999999998
75.0,0.09,"(0.3, 0.6)",False,98.82,26312.99,2.112,1670,-628.88,0.6317,93.17,8670.17,1.682,901,-404.65,0.5683,95.995,34983.16,True,17642.82
95.0,0.15,"(0.3, 0.5)",True,97.02,20885.62,2.892,923,-359.73,0.6869,94.97,5825.03,2.44,333,-329.87,0.6456,95.995,26710.649999999998,True,15060.59
90.0,0.15,"(0.3, 0.5)",False,96.98,24520.98,2.966,1069,-345.0,0.6801,95.01,6084.18,2.279,380,-441.87,0.6395,95.995,30605.16,True,18436.8
65.0,0.15,"(0.3, 0.5)",False,96.07,24957.24,3.124,1086,-245.0,0.6593,95.9,7058.68,2.85,384,-356.87,0.6354,95.985,32015.920000000002,True,17898.56
95.0,0.12,"(0.3, 0.5)",True,97.64,22234.33,2.358,1201,-374.5,0.6686,94.25,6436.08,1.873,529,-429.87,0.6181,95.945,28670.410000000003,True,15798.250000000002
82.5,0.12,"(0.3, 0.6)",False,97.84,26107.51,2.683,1279,-402.0,0.6701,94.04,6643.94,1.835,568,-591.87,0.6074,95.94,32751.449999999997,True,19463.57
75.0,0.15,"(0.2, 0.5)",False,96.6,24355.52,3.323,977,-285.0,0.6796,95.23,6728.17,2.905,345,-380.37,0.658,95.91499999999999,31083.690000000002,True,17627.35
82.5,0.15,"(0.2, 0.5)",True,96.88,20869.92,3.244,840,-294.99,0.6893,94.95,5912.38,2.864,298,-312.87,0.6644,95.91499999999999,26782.3,True,14957.539999999997
60.0,0.15,"(0.2, 0.5)",False,96.16,24282.43,3.398,983,-316.22,0.6663,95.65,6863.01,3.074,347,-354.87,0.6484,95.905,31145.440000000002,True,17419.42
65.0,0.12,"(0.2, 0.5)",True,96.46,22180.97,2.617,1121,-413.32,0.6467,95.34,7147.87,2.338,483,-407.18,0.6128,95.9,29328.84,True,15033.100000000002
85.0,0.15,"(0.2, 0.5)",True,96.97,20427.08,3.14,838,-307.49,0.6885,94.83,5829.88,2.791,298,-322.87,0.6644,95.9,26256.960000000003,True,14597.2
60.0,0.18,"(0.3, 0.6)",False,97.19,20555.11,4.192,721,-210.06,0.7018,94.6,5200.31,3.851,225,-133.5,0.68,95.895,25755.420000000002,True,15354.8
100.0,0.18,,False,96.71,21849.75,2.994,923,-379.4,0.6977,95.06,4890.54,2.522,272,-313.76,0.6618,95.88499999999999,26740.29,True,16959.21
85.0,0.15,"(0.3, 0.5)",False,96.47,24530.41,2.978,1074,-325.0,0.676,95.3,6318.68,2.397,379,-407.37,0.6412,95.88499999999999,30849.09,True,18211.73
110.0,0.15,"(0.3, 0.5)",False,96.29,23042.92,2.719,1047,-425.0,0.6877,95.45,6928.92,2.697,369,-389.87,0.6612,95.87,29971.839999999997,True,16113.999999999998
80.0,0.15,"(0.2, 0.5)",True,96.65,20988.48,3.297,841,-283.09,0.6885,95.07,5990.38,2.936,299,-302.87,0.6622,95.86,26978.86,True,14998.099999999999
70.0,0.15,,True,96.11,23183.16,2.801,1117,-323.96,0.6562,95.6,6569.64,2.526,394,-240.03,0.6244,95.85499999999999,29752.8,True,16613.52
75.0,0.18,"(0.3, 0.6)",False,97.26,20106.87,3.845,720,-252.0,0.7056,94.4,5275.31,3.907,225,-130.5,0.6889,95.83000000000001,25382.18,True,14831.559999999998
110.0,0.09,"(0.3, 0.6)",False,99.55,24396.07,1.994,1579,-806.97,0.6593,92.11,8224.85,1.652,838,-762.57,0.5955,95.83,32620.92,True,16171.22
70.0,0.12,"(0.2, 0.5)",True,97.09,21907.01,2.544,1118,-488.82,0.6521,94.57,7014.87,2.282,482,-447.18,0.6141,95.83,28921.879999999997,True,14892.14
80.0,0.18,,False,96.26,23198.38,3.323,937,-299.4,0.6905,95.39,5060.2,2.65,275,-230.38,0.6545,95.825,28258.58,True,18138.18
75.0,0.15,,True,95.67,23379.69,2.822,1116,-358.96,0.6622,95.98,6393.64,2.427,392,-270.03,0.6276,95.825,29773.329999999998,True,16986.05
75.0,0.15,"(0.2, 0.5)",True,96.99,20840.0,3.257,846,-263.09,0.682,94.65,6150.88,3.096,300,-282.87,0.66,95.82,26990.88,True,14689.119999999999
70.0,0.15,"(0.2, 0.5)",False,96.6,24040.06,3.271,977,-317.34,0.6735,95.02,6746.17,2.939,346,-457.87,0.6532,95.81,30786.230000000003,True,17293.89
110.0,0.09,"(0.3, 0.6)",True,99.61,21706.91,2.04,1362,-843.28,0.6645,92.0,6999.87,1.65,730,-702.57,0.5986,95.805,28706.78,True,14707.04
100.0,0.18,"(0.3, 0.5)",False,97.55,20550.92,3.325,787,-360.69,0.7065,94.05,5043.3,3.162,236,-185.0,0.6864,95.8,25594.219999999998,True,15507.619999999999
65.0,0.18,"(0.3, 0.6)",False,97.11,20313.1,4.045,720,-240.06,0.7,94.49,5307.81,4.034,225,-139.0,0.6844,95.8,25620.91,True,15005.289999999997
95.0,0.15,"(0.2, 0.5)",True,97.26,20060.31,3.06,828,-357.49,0.6944,94.31,5499.88,2.534,298,-362.87,0.6644,95.785,25560.190000000002,True,14560.43
