symbol,entry_timing,sl_atr,tp_ladder,ratios,be_after_tp1,blofin_n,blofin_net,blofin_pf,blofin_dd,blofin_wr,blofin_oos_net,blofin_oos_pf,lighter_n,lighter_net,lighter_pf,lighter_dd,lighter_wr,lighter_oos_net,lighter_oos_pf,tp1_rate,tp3_rate
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,349,-4622.88,0.5,-4568.88,0.4585,-1711.36,0.454,349,-1481.74,0.804,-1822.52,0.4699,-766.42,0.708,0.607,0.324
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,181,-3050.7,0.429,-3211.1,0.4365,-1345.3,0.335,181,-1421.5,0.679,-1788.33,0.442,-850.46,0.51,0.58,0.331
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,413,-5031.91,0.468,-4952.31,0.6344,-1899.29,0.429,413,-1314.87,0.838,-1811.11,0.6344,-783.24,0.728,0.634,0.022
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,209,-3171.5,0.402,-3264.66,0.6077,-1371.93,0.314,209,-1290.25,0.718,-1538.78,0.6077,-804.98,0.539,0.608,0.01
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,413,-5031.91,0.468,-4952.31,0.6344,-1899.29,0.429,413,-1314.87,0.838,-1811.11,0.6344,-783.24,0.728,0.634,0.022
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,209,-3171.5,0.402,-3264.66,0.6077,-1371.93,0.314,209,-1290.25,0.718,-1538.78,0.6077,-804.98,0.539,0.608,0.01
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,398,-4555.49,0.52,-4514.19,0.5101,-1631.28,0.501,398,-973.49,0.879,-1529.5,0.6231,-551.4,0.805,0.623,0.035
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,206,-3011.4,0.437,-3148.84,0.4951,-1262.73,0.351,206,-1157.11,0.747,-1519.59,0.6019,-704.76,0.585,0.602,0.015
ZEC-USDT,signal,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,387,-4923.9,0.532,-4846.03,0.478,-1912.17,0.477,387,-1440.94,0.835,-1756.25,0.478,-859.35,0.722,0.62,0.052
ZEC-USDT,retest,1.5,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,202,-3210.5,0.46,-3330.7,0.4604,-1161.46,0.438,202,-1392.46,0.72,-1695.09,0.4604,-612.61,0.655,0.599,0.025
ZEC-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,378,-4577.05,0.555,-4580.9,0.537,-1639.44,0.53,378,-1175.05,0.866,-1738.99,0.5661,-613.58,0.797,0.566,0.209
ZEC-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,198,-3610.23,0.416,-3770.5,0.4848,-1318.21,0.388,198,-1828.24,0.657,-2100.29,0.5253,-778.29,0.587,0.525,0.192
ZEC-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,349,-4358.2,0.588,-4463.93,0.404,-1721.77,0.524,349,-1217.21,0.86,-1807.19,0.404,-776.94,0.744,0.559,0.324
ZEC-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",False,181,-3142.64,0.498,-3312.33,0.4088,-1296.86,0.413,181,-1513.56,0.715,-1966.46,0.4088,-802.01,0.578,0.508,0.331
ZEC-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,378,-4518.34,0.566,-4582.32,0.4233,-1614.83,0.54,378,-1116.29,0.873,-1736.17,0.5661,-588.93,0.806,0.566,0.209
ZEC-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",True,198,-3615.19,0.424,-3801.14,0.3737,-1304.25,0.401,198,-1833.21,0.656,-2177.07,0.5253,-764.29,0.594,0.525,0.192
ZEC-USDT,signal,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,349,-4313.47,0.62,-4494.8,0.3983,-1745.34,0.551,349,-1172.45,0.876,-1930.25,0.404,-800.49,0.758,0.559,0.324
ZEC-USDT,retest,1.5,"(1.0, 2.0, 3.0)","(0.34, 0.33, 0.33)",False,181,-2993.93,0.542,-3215.84,0.4088,-1261.51,0.448,181,-1364.84,0.755,-1962.53,0.4088,-766.63,0.613,0.508,0.331
