symbol,action,signal_price,created_at,status,filled_at,fill_price,era
SOL-USDT,buy,85.24,2026-04-16 12:04:01.128119+00:00,expired,,,v1
ZEC-USDT,buy,345.26,2026-04-16 13:18:36.301164+00:00,filled,2026-04-16 13:42:07.940653+00:00,344.53,v1
SOL-USDT,sell,86.19,2026-04-16 13:27:55.807774+00:00,filled,2026-04-16 13:30:15.829725+00:00,85.92,v1
SOL-USDT,sell,85.22,2026-04-16 13:52:04.617073+00:00,expired,,,v1
ZEC-USDT,sell,341.39,2026-04-16 13:52:33.895089+00:00,expired,,,v1
SOL-USDT,buy,85.29,2026-04-16 14:50:01.624040+00:00,expired,,,v1
SOL-USDT,sell,88.97,2026-04-16 21:21:55.890927+00:00,expired,,,v1
ZEC-USDT,sell,338.85,2026-04-16 22:13:54.083928+00:00,expired,,,v1
ZEC-USDT,buy,340.4,2026-04-17 00:02:02.622432+00:00,expired,,,v1
ZEC-USDT,sell,338.21,2026-04-17 02:06:51.767746+00:00,cancelled,,,v1
SOL-USDT,buy,87.99,2026-04-17 06:51:05.200760+00:00,expired,,,v1
ZEC-USDT,buy,334.66,2026-04-17 07:02:01.988295+00:00,expired,,,v1
ZEC-USDT,sell,332.6,2026-04-17 10:10:52.009307+00:00,expired,,,v1
SOL-USDT,sell,87.93,2026-04-17 10:29:08.666477+00:00,expired,,,v1
ZEC-USDT,buy,334.06,2026-04-17 12:26:03.625619+00:00,cancelled,,,v1
ZEC-USDT,buy,333.95,2026-04-17 12:31:02.466019+00:00,cancelled,,,v1
SOL-USDT,buy,88.4,2026-04-17 12:31:04.453345+00:00,cancelled,,,v1
SOL-USDT,buy,88.41,2026-04-17 12:47:04.548050+00:00,cancelled,,,v1
SOL-USDT,sell,88.62,2026-04-17 12:48:58.907114+00:00,expired,,,v1
ZEC-USDT,sell,341.15,2026-04-17 12:59:22.394453+00:00,cancelled,,,v1
ZEC-USDT,sell,341.15,2026-04-17 13:00:09.332567+00:00,cancelled,,,v1
ZEC-USDT,sell,342.97,2026-04-17 13:09:22.514918+00:00,cancelled,,,v1
ZEC-USDT,sell,344.2,2026-04-17 13:10:05.358098+00:00,cancelled,,,v1
ZEC-USDT,sell,345.48,2026-04-17 13:15:06.801908+00:00,cancelled,,,v1
ZEC-USDT,sell,347.97,2026-04-17 13:20:04.623593+00:00,cancelled,,,v1
SOL-USDT,sell,90.18,2026-04-17 13:23:39.347732+00:00,cancelled,,,v1
SOL-USDT,sell,90.31,2026-04-17 13:25:04.722860+00:00,cancelled,,,v1
SOL-USDT,sell,90.5,2026-04-17 13:45:45.173038+00:00,invalidated,,,v1
ZEC-USDT,sell,350.59,2026-04-17 13:55:22.861842+00:00,invalidated,,,v1
SOL-USDT,buy,90.04,2026-04-17 13:58:05.275901+00:00,invalidated,,,v1
ZEC-USDT,sell,351.61,2026-04-17 14:00:07.656137+00:00,invalidated,,,v1
ZEC-USDT,sell,354.03,2026-04-17 14:11:22.709188+00:00,invalidated,,,v1
ZEC-USDT,sell,353.24,2026-04-17 14:15:05.671216+00:00,invalidated,,,v1
ZEC-USDT,sell,353.46,2026-04-17 14:20:06.967427+00:00,invalidated,,,v1
ZEC-USDT,sell,354.79,2026-04-17 14:26:22.423345+00:00,invalidated,,,v1
ZEC-USDT,sell,354.35,2026-04-17 14:35:05.434208+00:00,invalidated,,,v1
ZEC-USDT,sell,348.36,2026-04-17 14:50:51.535425+00:00,invalidated,,,v1
SOL-USDT,buy,90.5,2026-04-17 15:29:57.464340+00:00,invalidated,,,v1
SOL-USDT,buy,89.68,2026-04-17 15:31:02.505865+00:00,invalidated,,,v1
SOL-USDT,sell,89.74,2026-04-17 17:11:09.286358+00:00,invalidated,,,v1
ZEC-USDT,buy,330.49,2026-04-17 18:10:55.780167+00:00,invalidated,,,v1
ZEC-USDT,buy,328.35,2026-04-17 19:00:55.209301+00:00,invalidated,,,v1
ZEC-USDT,buy,326.28,2026-04-17 19:05:05.826660+00:00,invalidated,,,v1
ZEC-USDT,buy,322.8,2026-04-17 20:50:04.238057+00:00,invalidated,,,v1
ZEC-USDT,buy,327.96,2026-04-17 22:06:02.555330+00:00,invalidated,,,v1
