min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,35,65,40,95,100,52.5,477,237,240,0.4969,129.67,10212.03,10082.36,1.013,43.09,-42.01,0.272,-1066.58,-53.33,15,-682.4,302.02,1.044,-172.35,0.946,144,477,237,240,0.4969,4423.69,12345.92,7922.23,1.558,52.09,-33.01,9.274,-566.77,-28.34,15,-547.5,3299.56,1.618,1124.13,1.435,144,83.94,15.91
0.12,"(0.3, 0.6)",True,80,45,55,50,70,75,45.0,464,302,162,0.6509,2395.75,13260.44,10864.7,1.221,43.91,-67.07,5.163,-892.22,-44.61,6,-481.15,2239.58,1.319,156.16,1.041,140,464,302,162,0.6509,6573.5,15979.73,9406.23,1.699,52.91,-58.06,14.167,-738.11,-36.91,6,-427.0,5156.61,1.855,1416.9,1.42,140,87.23,52.02
0.12,"(0.3, 0.6)",True,80,45,55,50,70,75,67.5,462,283,179,0.6126,3296.03,14146.36,10850.34,1.304,49.99,-60.62,7.134,-913.5,-45.67,6,-481.15,3099.81,1.443,196.22,1.051,139,462,301,161,0.6515,7456.5,16778.23,9321.73,1.8,55.74,-57.9,16.14,-760.36,-38.02,6,-427.0,6008.5,2.011,1448.0,1.429,139,87.93,58.76
0.12,"(0.3, 0.6)",True,80,45,55,50,85,90,45.0,466,303,163,0.6502,2642.5,13600.75,10958.25,1.241,44.89,-67.23,5.671,-901.08,-45.05,6,-481.15,2415.35,1.34,227.15,1.059,140,466,303,163,0.6502,6838.22,16328.95,9490.73,1.721,53.89,-58.23,14.674,-726.5,-36.33,6,-427.0,5350.42,1.875,1487.8,1.441,140,87.86,55.35
0.12,"(0.3, 0.6)",True,80,45,55,50,85,90,67.5,466,303,163,0.6502,2765.75,13724.0,10958.25,1.252,45.29,-67.23,5.935,-927.04,-46.35,6,-481.15,2531.86,1.356,233.89,1.061,140,466,303,163,0.6502,6961.56,16452.3,9490.73,1.734,54.3,-58.23,14.939,-726.5,-36.33,6,-427.0,5467.06,1.894,1494.5,1.443,140,87.95,56.15
0.12,"(0.3, 0.6)",True,80,45,65,50,80,85,45.0,460,258,202,0.5609,1169.26,12573.98,11404.72,1.103,48.74,-56.46,2.542,-986.74,-49.34,6,-481.15,1342.26,1.179,-173.0,0.956,138,460,258,202,0.5609,5311.04,14897.28,9586.23,1.554,57.74,-47.46,11.546,-764.08,-38.2,6,-427.0,4241.27,1.68,1069.77,1.32,138,83.07,34.47
0.12,"(0.3, 0.6)",True,80,45,65,50,80,85,67.5,459,257,202,0.5599,1400.64,12885.41,11484.77,1.122,50.14,-56.86,3.052,-1040.74,-52.04,6,-481.15,1510.54,1.199,-109.9,0.972,138,459,257,202,0.5599,5533.4,15199.63,9666.23,1.572,59.14,-47.85,12.055,-783.85,-39.19,6,-427.0,4400.71,1.696,1132.69,1.339,138,83.67,37.01
0.12,"(0.3, 0.6)",True,80,45,65,50,95,100,45.0,463,259,204,0.5594,1145.22,12736.94,11591.72,1.099,49.18,-56.82,2.473,-941.41,-47.07,6,-481.15,1151.4,1.15,-6.18,0.998,139,463,259,204,0.5594,5314.0,15069.23,9755.23,1.545,58.18,-47.82,11.477,-752.89,-37.64,6,-427.0,4068.49,1.635,1245.51,1.372,139,85.11,34.49
0.12,"(0.3, 0.6)",True,80,45,65,50,95,100,67.5,461,258,203,0.5597,1176.23,12754.45,11578.22,1.102,49.44,-57.04,2.551,-955.58,-47.78,6,-481.15,1257.87,1.164,-81.65,0.979,139,461,258,203,0.5597,5326.85,15077.58,9750.73,1.546,58.44,-48.03,11.555,-763.92,-38.2,6,-427.0,4156.89,1.649,1169.96,1.35,139,84.13,34.8
0.12,"(0.3, 0.6)",True,80,45,75,50,90,95,45.0,454,226,228,0.4978,436.93,12217.64,11780.71,1.037,54.06,-51.67,0.962,-1023.13,-51.16,6,-481.15,736.13,1.095,-299.2,0.926,137,454,226,228,0.4978,4524.89,14253.12,9728.23,1.465,63.07,-42.67,9.967,-752.89,-37.64,6,-427.0,3590.36,1.566,934.53,1.276,137,79.03,17.92
