sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_lighter_net,zec_lighter_pf,zec_lighter_dd,zec_lighter_n,zec_blofin_net,zec_blofin_pf,sol_lighter_net,sol_lighter_pf,sol_lighter_dd,sol_lighter_n,sol_blofin_net,sol_blofin_pf,combined_lighter_net,combined_blofin_net,both_profitable,zec_lift,sol_lift,combined_lift,score
80,25,45,30,75,80,25.0,25074.71,3.374,-376.0,1118,15011.46,2.06,5961.15,2.024,-262.5,509,1378.71,1.176,31035.86,16390.17,True,4274.02,-456.4300000000003,3817.59,65.41419333333333
140,25,35,30,65,70,37.5,22498.45,2.875,-614.68,1084,12741.41,1.9,6270.65,2.064,-401.58,488,1877.81,1.263,28769.1,14619.22,True,1697.760000000002,-146.9300000000003,1550.8300000000017,65.39503333333333
100,25,45,30,60,65,25.0,23778.45,3.114,-330.5,1099,13886.0,1.941,6364.29,2.086,-399.1,501,1854.14,1.238,30142.74,15740.14,True,2977.760000000002,-53.289999999999964,2924.470000000002,64.77207333333334
100,25,35,30,50,55,37.5,23568.94,3.215,-293.13,1102,13649.43,2.053,6358.75,2.159,-396.73,499,1866.91,1.272,29927.69,15516.34,True,2768.25,-58.82999999999993,2709.42,64.73962333333334
120,25,35,30,50,55,37.5,22746.84,2.969,-406.6,1095,12890.56,1.933,6799.61,2.309,-335.38,491,2379.92,1.368,29546.45,15270.48,True,1946.1500000000015,382.02999999999975,2328.180000000001,64.55958333333334
140,25,45,30,60,65,25.0,22489.77,2.805,-562.41,1080,12768.82,1.807,6024.55,1.977,-439.51,488,1631.6,1.205,28514.32,14400.42,True,1689.0800000000017,-393.02999999999975,1296.050000000002,64.47352
140,25,55,30,70,75,25.0,22512.6,2.751,-631.2,1073,12854.51,1.755,5706.43,1.941,-427.07,482,1367.71,1.166,28219.03,14222.220000000001,True,1711.9099999999999,-711.1499999999996,1000.7600000000002,64.44173
80,25,55,30,70,75,25.0,24862.6,3.251,-376.0,1113,14844.43,1.961,5726.78,1.965,-267.0,503,1198.62,1.144,30589.379999999997,16043.05,True,4061.91,-690.8000000000002,3371.1099999999997,64.40604666666667
140,25,45,30,75,80,25.0,22515.44,2.807,-621.36,1080,12794.27,1.808,5697.97,1.924,-418.46,488,1304.96,1.164,28213.41,14099.23,True,1714.75,-719.6099999999997,995.1400000000003,64.38161
100,25,45,30,75,80,25.0,23805.92,3.116,-350.5,1099,13913.27,1.943,6018.65,2.027,-381.75,501,1508.47,1.194,29824.57,15421.74,True,3005.2299999999996,-398.9300000000003,2606.2999999999993,64.29040333333334
140,25,35,30,50,55,37.5,22335.57,2.884,-526.6,1083,12587.57,1.896,6156.1,2.071,-401.58,486,1781.37,1.254,28491.67,14368.939999999999,True,1534.880000000001,-261.47999999999956,1273.4000000000015,64.29013666666667
